Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,PQ_First_Sent_to_Client_Date,PO_Sent_to_Vendor_Date,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Product_Group,Sub_Classification,Vendor,Brand,Dosage_Form,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,First_Line_Designation,Line_Item_Insurance_(USD),Freight_Cost_USD_Clean,Weight_Kilograms_Clean
Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,,,2006-06-02,2006-06-02,2006-06-02,HRDT,HIV,Others,Others,Test kit,30,19,551.0,29.0,0.97,Yes,47.04,780.34,13.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,,2006-11-14,2006-11-14,2006-11-14,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral,240,1000,6200.0,6.2,0.03,Yes,47.04,4521.5,358.0
Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,,,2006-08-27,2006-08-27,2006-08-27,HRDT,HIV,Others,Determine,Test kit,100,500,40000.0,80.0,0.8,Yes,47.04,1653.78,171.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,,2006-09-01,2006-09-01,2006-09-01,ARV,Adult,Others,Generic,Tablet,60,31920,127360.8,3.99,0.07,Yes,47.04,16007.06,1855.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,,2006-08-11,2006-08-11,2006-08-11,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,60,38000,121600.0,3.2,0.05,Yes,47.04,45450.08,7590.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,,2006-09-28,2006-09-28,2006-09-28,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral,240,416,2225.6,5.35,0.02,Yes,47.04,5920.42,504.0
Tanzania,PMO - US,Direct Drop,EXW,Air,,,2006-11-24,2006-11-24,2006-11-24,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60,16667,60834.55,3.65,0.06,Yes,47.04,6212.41,1478.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,,2006-12-07,2006-12-07,2006-12-07,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,60,273,532.35,1.95,0.03,No,47.04,4861.14,479.0
Zambia,PMO - US,Direct Drop,EXW,Air,,,2007-01-08,2007-01-08,2007-01-08,HRDT,HIV,"Trinity Biotech, Plc",Uni-Gold,Test kit,20,2500,100000.0,40.0,2.0,Yes,47.04,13569.49,853.0
Others,PMO - US,Direct Drop,EXW,Air,,2006-12-22,2007-02-27,2007-02-27,2007-02-27,ARV,Adult,Others,Generic,Tablet,60,10000,99800.0,9.98,0.17,Yes,47.04,64179.42,7416.0
Haiti,PMO - US,Direct Drop,EXW,Air,,,2007-01-18,2007-01-18,2007-01-18,HRDT,HIV,Others,Determine,Test kit,100,750,60000.0,80.0,0.8,Yes,47.04,1760.32,256.0
Others,PMO - US,Direct Drop,EXW,Air,,,2007-03-29,2007-03-29,2007-03-29,HRDT,HIV,Others,Others,Test kit,30,2000,33000.0,16.5,0.55,Yes,47.04,3120.7,710.0
Tanzania,PMO - US,Direct Drop,CIP,Air,,2007-04-12,2007-06-06,2007-06-06,2007-06-06,ARV,Pediatric,Others,Others,Oral,200,712,8964.08,12.59,0.06,Yes,47.04,912.96,162.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,2007-05-13,2007-06-19,2007-06-19,2007-06-19,HRDT,HIV,Others,Determine,Test kit,100,1000,80000.0,80.0,0.8,Yes,128.0,2682.47,341.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,2007-05-17,2007-06-19,2007-06-19,2007-06-19,HRDT,HIV,Others,Others,Test kit,20,7500,202500.0,27.0,1.35,Yes,47.04,15893.71,2278.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2007-07-04,2007-10-15,2007-10-15,2007-10-15,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral,240,1000,1920.0,1.92,0.01,Yes,3.07,4193.49,941.0
Vietnam,PMO - US,Direct Drop,FCA,Air,,2007-07-04,2007-08-27,2007-08-27,2007-08-27,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Others,Tablet,120,500,41095.0,82.19,0.68,Yes,65.75,1767.38,117.0
Haiti,PMO - US,Direct Drop,EXW,Air,,2007-07-26,2007-08-13,2007-08-21,2007-08-21,HRDT,HIV,"Orgenics, Ltd",Determine,Test kit,100,750,53992.5,71.99,0.72,Yes,86.39,3518.38,171.0
Haiti,PMO - US,Direct Drop,EXW,Air,,2007-07-26,2007-08-25,2007-08-25,2007-08-25,HRDT,HIV,Others,Others,Test kit,100,25,8750.0,350.0,3.5,Yes,14.0,3097.85,60.0
Tanzania,PMO - US,Direct Drop,EXW,Air,,,2007-10-16,2007-10-16,2007-10-16,HRDT,HIV,Others,Others,Test kit,25,10000,200000.0,20.0,0.8,Yes,320.0,27869.74,3335.0
Tanzania,PMO - US,Direct Drop,EXW,Air,,,2007-11-22,2007-11-22,2007-11-22,HRDT,HIV,Others,Others,Test kit,25,10000,200000.0,20.0,0.8,Yes,320.0,28461.1,3335.0
Tanzania,PMO - US,Direct Drop,EXW,Air,,,2007-11-22,2007-11-22,2007-11-22,HRDT,HIV,Others,Others,Test kit,25,10000,200000.0,20.0,0.8,Yes,320.0,28359.8,3335.0
